,Municipality *,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,"Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
0,Andover,1,0,0,1,1,0,0,0
1,Ansonia,231,26,0,257,118,11,17,11
2,Ashford,25,1,1,27,21,1,4,2
3,Avon,18,1,0,19,7,0,2,2
4,Barkhamsted,6,1,0,7,4,0,0,0
5,Beacon Falls,20,10,0,30,24,0,2,1
6,Berlin,32,10,0,42,39,2,9,7
7,Bethany,15,1,0,16,10,0,0,0
8,Bethel,87,9,1,97,41,3,4,0
9,Bethlehem,7,0,0,7,5,0,1,1
10,Bloomfield,90,17,0,107,46,8,17,3
11,Bolton,7,1,0,8,6,1,0,0
12,Bozrah,0,1,0,1,0,1,1,1
13,Branford,148,25,0,173,63,13,12,8
14,Bridgeport,"4,307",614,1,"4,922",764,165,203,103
15,Bridgewater,5,1,0,6,6,0,0,0
16,Bristol,453,40,1,494,180,32,50,29
17,Brookfield,55,4,0,59,51,3,0,0
18,Brooklyn,35,5,1,41,24,0,4,2
19,Burlington,9,1,0,10,7,2,0,0
20,Canaan,2,0,0,2,0,0,0,0
21,Canterbury,3,2,1,6,3,0,4,1
22,Canton,14,1,0,15,9,2,1,1
23,Chaplin,10,5,2,17,14,2,1,1
24,Cheshire,43,3,0,46,27,1,4,4
25,Chester,5,0,0,5,3,0,1,0
26,Clinton,52,11,0,63,48,4,2,1
27,Colchester,24,10,0,34,24,6,1,1
28,Colebrook,1,0,0,1,1,0,0,0
29,Columbia,7,2,0,9,8,1,0,0
30,Cornwall,1,0,0,1,1,0,0,0
31,Coventry,26,8,0,34,22,0,3,3
32,Cromwell,23,1,0,24,4,2,3,3
33,Danbury,"1,945",145,4,"2,094",811,24,37,15
34,Darien,27,2,0,29,9,1,0,0
35,Deep River,23,4,0,27,19,0,0,0
36,Derby,147,23,0,170,128,2,12,10
37,Durham,9,1,0,10,2,0,0,0
38,East Granby,13,1,0,14,12,1,0,0
39,East Haddam,20,2,0,22,20,0,1,1
40,East Hampton,34,5,0,39,21,0,1,1
41,East Hartford,523,102,7,632,146,37,41,23
42,East Haven,184,42,0,226,49,7,23,11
43,East Lyme,52,3,0,55,38,4,5,3
44,East Windsor,49,10,1,60,40,1,2,1
45,Eastford,5,2,0,7,5,0,4,1
46,Easton,10,0,0,10,9,0,0,0
47,Ellington,31,4,0,35,29,2,1,1
48,Enfield,192,35,1,228,206,10,21,10
49,Essex,11,0,0,11,3,1,1,1
50,Fairfield,169,19,0,188,74,2,7,5
51,Farmington,33,1,0,34,25,4,10,10
52,Franklin,1,1,0,2,0,0,0,0
53,Glastonbury,39,2,0,41,24,2,0,0
54,Goshen,0,0,0,0,0,0,0,0
55,Granby,22,2,0,24,13,1,1,0
56,Greenwich,191,25,1,217,31,1,8,4
57,Griswold,39,12,0,51,40,3,11,6
58,Groton,450,43,0,493,163,12,17,6
59,Guilford,35,12,0,47,16,3,4,1
60,Haddam,14,0,0,14,4,0,2,1
61,Hamden,315,56,0,371,111,22,37,17
62,Hampton,10,5,0,15,6,1,0,0
63,Hartford,"2,405",627,8,"3,040","1,847",166,224,97
64,Hartland,2,0,0,2,2,0,0,0
65,Harwinton,4,2,0,6,4,2,10,3
66,Hebron,11,2,0,13,6,0,1,0
67,Kent,7,1,0,8,7,0,1,1
68,Killingly,135,38,0,173,127,7,13,5
69,Killingworth,7,0,0,7,2,0,0,0
70,Lebanon,11,6,0,17,14,1,0,0
71,Ledyard,94,12,0,106,57,9,12,8
72,Lisbon,9,3,0,12,11,0,0,0
73,Litchfield,14,4,0,18,8,1,2,0
74,Lyme,5,3,0,8,4,0,0,0
75,Madison,67,9,0,76,24,8,1,0
76,Manchester,393,93,1,487,172,29,39,26
77,Mansfield,52,9,0,61,36,7,0,0
78,Marlborough,6,1,0,7,7,0,0,0
79,Meriden,536,133,0,669,345,30,59,33
80,Middlebury,8,0,0,8,2,0,2,0
81,Middlefield,10,4,0,14,11,0,0,0
82,Middletown,323,35,0,358,103,37,31,21
83,Milford,163,18,0,181,71,18,19,10
84,Monroe,32,5,0,37,21,5,2,1
85,Montville,90,16,0,106,55,8,14,8
86,Morris,2,2,0,4,3,0,0,0
87,Naugatuck,224,27,1,252,141,17,18,13
88,New Britain,900,230,1,"1,131",262,35,101,41
89,New Canaan,40,2,0,42,16,2,0,0
90,New Fairfield,42,1,1,44,35,1,5,2
91,New Hartford,9,6,0,15,11,0,2,0
92,New Haven,"3,944",760,1,"4,705","1,902",181,262,113
93,New London,"1,125",101,1,"1,227",121,42,42,17
94,New Milford,140,7,0,147,95,11,4,3
95,Newington,57,22,0,79,59,9,1,1
96,Newtown,70,9,0,79,58,5,15,7
97,Norfolk,4,1,0,5,5,0,5,5
98,North Branford,29,4,0,33,11,5,6,4
99,North Canaan,20,1,0,21,16,3,4,3
100,North Haven,52,7,0,59,15,2,2,1
101,North Stonington,18,4,0,22,18,1,1,1
102,Norwalk,"1,754",132,1,"1,887",173,17,30,9
103,Norwich,432,145,2,579,123,39,38,22
104,Old Lyme,19,2,0,21,6,0,1,1
105,Old Saybrook,46,5,0,51,16,0,1,1
106,Orange,24,3,0,27,12,2,0,0
107,Oxford,38,5,0,43,33,4,1,1
108,Plainfield,88,20,5,113,45,7,4,3
109,Plainville,95,10,0,105,37,4,4,2
110,Plymouth,70,5,0,75,25,2,12,6
111,Pomfret,13,10,0,23,8,1,0,0
112,Portland,22,11,0,33,18,3,0,0
113,Preston,12,3,0,15,13,0,0,0
114,Prospect,18,2,0,20,17,0,2,1
115,Putnam,108,28,1,137,78,2,10,6
116,Redding,20,3,0,23,15,4,0,0
117,Ridgefield,53,6,0,59,32,2,8,6
118,Rocky Hill,34,4,0,38,11,1,3,3
119,Roxbury,1,0,0,1,1,0,0,0
120,Salem,20,0,0,20,11,0,3,0
121,Salisbury,10,4,0,14,9,0,2,0
122,Scotland,6,1,0,7,1,0,0,0
123,Seymour,54,11,0,65,49,4,12,8
124,Sharon,5,1,0,6,5,0,0,0
125,Shelton,137,24,0,161,51,8,10,5
126,Sherman,4,2,0,6,5,0,1,0
127,Simsbury,24,8,0,32,21,3,0,0
128,Somers,12,5,0,17,11,1,1,1
129,South Windsor,32,8,1,41,23,2,7,5
130,Southbury,24,1,0,25,15,3,5,4
131,Southington,119,16,0,135,67,13,10,8
132,Sprague,8,11,1,20,12,1,1,0
133,Stafford,73,10,0,83,63,5,8,3
134,Stamford,"2,347",269,3,"2,619",508,21,54,16
135,Sterling,26,3,0,29,14,1,1,0
136,Stonington,111,12,0,123,38,0,1,0
137,Stratford,365,76,0,441,63,20,26,12
138,Suffield,20,4,0,24,17,1,0,0
139,Thomaston,15,4,0,19,10,1,9,4
140,Thompson,66,26,4,96,47,1,6,2
141,Tolland,34,0,0,34,29,2,0,0
142,Torrington,286,29,1,316,198,23,71,25
143,Trumbull,74,9,0,83,34,3,3,3
144,Union,2,0,0,2,2,0,0,0
145,Vernon,163,36,1,200,106,12,15,11
146,Voluntown,5,4,0,9,6,2,0,0
147,Wallingford,90,21,1,112,28,13,14,11
148,Warren,0,0,0,0,0,0,0,0
149,Washington,13,0,0,13,12,0,2,2
150,Waterbury,"2,497",323,5,"2,825","1,747",145,220,93
151,Waterford,47,2,0,49,11,3,13,2
152,Watertown,52,8,0,60,49,12,14,9
153,West Hartford,110,14,0,124,77,7,18,13
154,West Haven,688,79,0,767,217,30,37,19
155,Westbrook,33,7,0,40,32,4,2,2
156,Weston,18,0,0,18,10,0,0,0
157,Westport,60,5,0,65,49,2,1,1
158,Wethersfield,64,10,0,74,52,8,6,0
159,Willington,23,3,0,26,20,1,0,0
160,Wilton,26,0,0,26,15,0,1,1
161,Winchester,74,6,0,80,26,4,14,10
162,Windham,666,145,19,830,257,22,33,16
163,Windsor,114,19,1,134,73,6,11,7
164,Windsor Locks,48,7,0,55,37,2,11,9
165,Wolcott,49,10,0,59,26,8,14,8
166,Woodbridge,7,3,0,10,2,1,0,0
167,Woodbury,24,1,0,25,21,2,3,1
168,Woodstock,13,5,2,20,14,0,2,0
169,Grand Total,"33,020","5,211",84,"38,315","14,192","1,528","2,266","1,109"
